,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
42,Senior Data Science Engineer,Relativity Space,"Long Beach, CA","Company Overview: At Relativity Space, we have two audacious goals: to build the next great commercial launch company with Terran R and to become America's…",Posted 8 days ago·,204000.0,Long Beach,CA,False
43,Product Manager - TikTok Social,TikTok,"Los Angeles, CA",Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·,223250.0,Los Angeles,CA,False
44,"Manager, Content Data Engineering",Netflix,"Los Angeles, CA","Los Angeles, California Data Science and Engineering Who are we? Netflix is the world's leading internet entertainment service with over 260+ million…",Posted 30+ days ago·,,Los Angeles,CA,False
45,DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA",Duties NH-02 DUTY 1: Performs developmental assignments in support of projects assigned to higher level analysts. Performs minor phases of a larger…,Posted 30+ days ago·,,Los Angeles,CA,False
46,"Manager, Data Analytics",Disney,"Burbank, CA","Manager, Data Analytics Apply Later Job ID 10066638 Location Burbank, California, United States Business Disney Music Group Date posted Nov. 10, 2023 Job…",Posted 30+ days ago·,,Burbank,CA,False
47,Systems Safety Engineer (Associate or Mid-Level),BOEING,"Long Beach, CA","At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…",Posted 7 days ago·,,Long Beach,CA,False
48,Data Analyst - Product & Marketing (REMOTE),The League,"Remote in Los Angeles, CA","Company Description The League is a social dating app startup backed by IDG Ventures, xSeed Capital, Cowboy Ventures, Structure Capital, Sherpa Ventures, and…",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
49,Data Science Instructor,UCLA Extension,"Los Angeles, CA","***IMPORTANT - TO APPLY TO POSITION, YOU MUST APPLY THROUGH THE FOLLOWING JOB LINK: https://recruit.apo.ucla.edu/JPF08628*** POSITION OVERVIEW Position title…",Posted 30+ days ago·,,Los Angeles,CA,False
50,"Software Development Engineer II, Ring Data Science and Engineering",Amazon.com Services LLC,"Hawthorne, CA 90250 ","- 3+ years of non-internship professional software development experience - 2+ years of non-internship design or architecture (design patterns, reliability…",Posted 7 days ago·,115000.0,Hawthorne,CA,False
51,Staff Analytics Engineer,Warner Bros. Discovery,"Culver City, CA 90232","Every great story has a new beginning, and yours starts here. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, …",Posted 30 days ago·,244400.0,Culver City,CA,False
52,Senior Data Analyst,"Evite, Inc.","Glendale, CA",Curious. Innovative. Collaborative. Inclusive. Committed to bringing people together to celebrate their most important life moments. That's who we are at Evite…,Posted 30+ days ago·,,Glendale,CA,False
